date,category,region,sales,profit
2025-02-01,Electronics,East,42905,3339.41
2025-02-01,Electronics,West,49598,5890.13
2025-02-01,Electronics,North,15628,1326.57
2025-02-01,Clothing,East,7717,1691.37
2025-02-01,Clothing,West,36741,2635.6
2025-02-01,Clothing,North,28651,1660.2
2025-02-01,Groceries,East,7140,747.27
2025-02-01,Groceries,West,34118,6840.82
2025-02-01,Groceries,North,37781,3767.12
2025-02-02,Electronics,East,43590,9822.19
2025-02-02,Electronics,West,28493,2994.9
2025-02-02,Electronics,North,39618,4736.24
2025-02-02,Clothing,East,1425,341.58
2025-02-02,Clothing,West,11463,2573.84
2025-02-02,Clothing,North,23298,2783.36
2025-02-02,Groceries,East,15110,4371.37
2025-02-02,Groceries,West,23059,1742.17
2025-02-02,Groceries,North,25898,1921.09
2025-02-03,Electronics,East,23541,4730.13
2025-02-03,Electronics,West,3847,894.17
2025-02-03,Electronics,North,36142,2934.97
2025-02-03,Clothing,East,25807,1798.75
2025-02-03,Clothing,West,20213,5201.84
2025-02-03,Clothing,North,41535,11271.06
2025-02-03,Groceries,East,24700,4800.15
2025-02-03,Groceries,West,47174,3179.0
2025-02-03,Groceries,North,44336,4742.82
2025-02-04,Electronics,East,19965,5915.74
2025-02-04,Electronics,West,16256,4334.19
2025-02-04,Electronics,North,25911,3096.19
2025-02-04,Clothing,East,42660,11028.79
2025-02-04,Clothing,West,11659,1661.93
2025-02-04,Clothing,North,14730,3204.42
2025-02-04,Groceries,East,46994,13353.99
2025-02-04,Groceries,West,43469,2949.4
2025-02-04,Groceries,North,42613,3953.83
2025-02-05,Electronics,East,48784,5424.91
2025-02-05,Electronics,West,31294,4533.37
2025-02-05,Electronics,North,42943,9535.08
2025-02-05,Clothing,East,15392,3404.0
2025-02-05,Clothing,West,4665,500.38
2025-02-05,Clothing,North,3103,779.66
2025-02-05,Groceries,East,27290,3191.16
2025-02-05,Groceries,West,14826,4125.84
2025-02-05,Groceries,North,38170,10271.24
2025-02-06,Electronics,East,21622,2230.45
2025-02-06,Electronics,West,33717,5020.73
2025-02-06,Electronics,North,43129,7103.91
2025-02-06,Clothing,East,18359,1558.82
2025-02-06,Clothing,West,49823,9483.41
2025-02-06,Clothing,North,18219,4313.41
2025-02-06,Groceries,East,29077,7980.35
2025-02-06,Groceries,West,27175,3818.06
2025-02-06,Groceries,North,10065,1785.35
2025-02-07,Electronics,East,6957,1662.34
2025-02-07,Electronics,West,8185,722.0
2025-02-07,Electronics,North,11484,2848.26
2025-02-07,Clothing,East,28666,5707.47
2025-02-07,Clothing,West,26216,3811.93
2025-02-07,Clothing,North,31674,5773.49
2025-02-07,Groceries,East,37256,9880.1
2025-02-07,Groceries,West,1752,385.56
2025-02-07,Groceries,North,8507,1875.18
2025-02-08,Electronics,East,36190,8603.07
2025-02-08,Electronics,West,43006,5807.7
2025-02-08,Electronics,North,20234,3210.96
2025-02-08,Clothing,East,30735,1561.69
2025-02-08,Clothing,West,48323,12997.11
2025-02-08,Clothing,North,18261,5349.96
2025-02-08,Groceries,East,12708,2248.3
2025-02-08,Groceries,West,7973,2133.81
2025-02-08,Groceries,North,20558,5353.66
2025-02-09,Electronics,East,34270,6930.85
2025-02-09,Electronics,West,11016,1580.56
2025-02-09,Electronics,North,11587,2141.8
2025-02-09,Clothing,East,35757,9998.49
2025-02-09,Clothing,West,40252,5274.58
2025-02-09,Clothing,North,2276,177.45
2025-02-09,Groceries,East,24788,6684.84
2025-02-09,Groceries,West,21153,2323.93
2025-02-09,Groceries,North,16785,4523.6
2025-02-10,Electronics,East,6161,439.98
2025-02-10,Electronics,West,32849,8343.84
2025-02-10,Electronics,North,35911,8671.02
2025-02-10,Clothing,East,9414,2023.42
2025-02-10,Clothing,West,37031,3380.25
2025-02-10,Clothing,North,35581,9539.56
2025-02-10,Groceries,East,28730,8363.04
2025-02-10,Groceries,West,36343,8679.3
2025-02-10,Groceries,North,46211,4634.4
2025-02-11,Electronics,East,21428,3208.8
2025-02-11,Electronics,West,45019,9565.17
2025-02-11,Electronics,North,29711,8167.66
2025-02-11,Clothing,East,30588,2454.72
2025-02-11,Clothing,West,15725,1037.95
2025-02-11,Clothing,North,2378,468.65
2025-02-11,Groceries,East,16080,3169.53
2025-02-11,Groceries,West,1471,99.66
2025-02-11,Groceries,North,42359,2741.41
2025-02-12,Electronics,East,5417,1497.02
2025-02-12,Electronics,West,22654,1534.0
